Filename,Latitude,Longitude,Elevation
P1810470.JPG,125148562793/12000000000,-30243397819/360000000,116.28123474121094
P1920625.JPG,187727918669/18000000000,-756090874981/9000000000,114.57113647460938
P1870562.JPG,187746646393/18000000000,-1008118314907/12000000000,113.84747314453125
P1920626.JPG,375455842219/36000000000,-3024359078491/36000000000,114.63105773925781
P1820490.JPG,375470280149/36000000000,-126014499319/1500000000,116.35277557373047
P1870559.JPG,375493274153/36000000000,-1512170937397/18000000000,113.61959075927734
P1830502.JPG,375462738149/36000000000,-604871245459/7200000000,115.13624572753906
P1910613.JPG,75092657921/7200000000,-1008111030743/12000000000,114.06248474121094
P1830505.JPG,15019025441/1440000000,-7875927677/93750000,114.91020965576172
P1920632.JPG,125151934853/12000000000,-336036994767/4000000000,115.51524353027344
P1940656.JPG,375440865767/36000000000,-1512175156163/18000000000,114.84676361083984
P1880571.JPG,41720642279/4000000000,-756088695641/9000000000,114.62429809570312
P1940655.JPG,125146957189/12000000000,-3024354744529/36000000000,114.85321044921875
P1850529.JPG,41717620851/4000000000,-378046585793/4500000000,114.08345031738281
P1800466.JPG,375453089537/36000000000,-1512165761917/18000000000,116.18971252441406
P1790452.JPG,93872165663/9000000000,-378040406581/4500000000,116.790771484375
P1820489.JPG,41719389973/4000000000,-1008115995379/12000000000,116.30863952636719
P1930650.JPG,46931046083/4500000000,-756092983829/9000000000,114.97529602050781
P1830497.JPG,12514698109/1200000000,-302435626519/3600000000,114.53960418701172
P1910622.JPG,3754633511/360000000,-1008124033643/12000000000,114.36056518554688
P1800467.JPG,375448783493/36000000000,-3024331528289/36000000000,116.22868347167969
P1930643.JPG,41716484623/4000000000,-1512170874377/18000000000,114.99838256835938
P1940659.JPG,375440851283/36000000000,-604867445243/7200000000,114.9136962890625
P1820484.JPG,46937003579/4500000000,-1008115993889/12000000000,116.42884826660156
P1930641.JPG,375448360471/36000000000,-336037007001/4000000000,115.11402893066406
P1890590.JPG,375478291451/36000000000,-1512177474827/18000000000,113.75421142578125
P1840524.JPG,41716058033/4000000000,-120974579017/1440000000,113.39207458496094
P1870553.JPG,375493180609/36000000000,-3024315122777/36000000000,113.20307159423828
P1860551.JPG,375500729749/36000000000,-3024319856167/36000000000,113.53135681152344
P1930637.JPG,15643678421/1500000000,-3024315141961/36000000000,114.15440368652344
P1830498.JPG,375445582423/36000000000,-3024356257333/36000000000,114.45076751708984
P1870561.JPG,93873322579/9000000000,-1008116862521/12000000000,113.7726821899414
P1810471.JPG,375449843431/36000000000,-75608493953/900000000,116.39283752441406
P1900596.JPG,375470781551/36000000000,-1512183848131/18000000000,114.22930145263672
P1870566.JPG,187746658517/18000000000,-84010336757/1000000000,113.70332336425781
P1920627.JPG,375455837567/36000000000,-604870938713/7200000000,114.84896850585938
P1900598.JPG,41718976879/4000000000,-3024359126029/36000000000,114.39488983154297
P1850536.JPG,375488516203/36000000000,-1008124231159/12000000000,114.00940704345703
P1800455.JPG,12516690247/1200000000,-1008110503849/12000000000,116.30013275146484
P1940652.JPG,37544088761/3600000000,-126015328319/1500000000,115.05531311035156
P1870555.JPG,31291102751/3000000000,-336036050471/4000000000,113.43817138671875
P1790453.JPG,93873205049/9000000000,-1008107753771/12000000000,116.77771759033203
P1940657.JPG,4693010909/450000000,-604869188297/7200000000,114.84333801269531
P1880576.JPG,187742867317/18000000000,-3024333021031/36000000000,114.79188537597656
P1840523.JPG,62574804553/6000000000,-1008121489183/12000000000,113.40505981445312
P1940651.JPG,375440870143/36000000000,-3024372622691/36000000000,115.19668579101562
